Symbol,Shortname,Currentprice,Revenuegrowth
IPG,"Interpublic Group of Companies,",29.07,-0.029
BEN,"Franklin Resources, Inc.",20.49,0.113
EMN,Eastman Chemical Company,91.76,0.087
ALB,Albemarle Corporation,88.65,-0.414
MGM,MGM Resorts International,34.16,0.053
AOS,A.O. Smith Corporation,68.72,-0.037
WYNN,"Wynn Resorts, Limited",88.95,0.013
PNW,Pinnacle West Capital Corporati,84.96,0.08
ENPH,"Enphase Energy, Inc.",71.45,-0.309
LKQ,LKQ Corporation,36.88,0.004
FRT,Federal Realty Investment Trust,111.92,0.058
CRL,Charles River Laboratories Inte,185.77,-0.016
GNRC,Generac Holdlings Inc.,156.26,0.096
AES,The AES Corporation,13.0,-0.042
GL,Globe Life Inc.,109.39,0.052
LW,"Lamb Weston Holdings, Inc.",62.09,-0.007
HSIC,"Henry Schein, Inc.",69.82,0.004
MKTX,"MarketAxess Holdings, Inc.",230.15,0.2
MTCH,"Match Group, Inc.",33.76,0.016
TFX,Teleflex Incorporated,178.16,0.024
WBA,"Walgreens Boots Alliance, Inc.",9.55,0.06
HAS,"Hasbro, Inc.",57.58,-0.148
IVZ,Invesco Ltd,17.33,0.051
APA,APA Corporation,21.04,0.104
MOS,Mosaic Company (The),24.07,-0.208
PARA,Paramount Global,10.66,-0.056
MHK,"Mohawk Industries, Inc.",119.16,-0.017
CE,Celanese Corporation,68.25,-0.028
HII,"Huntington Ingalls Industries, ",190.45,-0.024
CZR,"Caesars Entertainment, Inc.",32.82,-0.04
BWA,BorgWarner Inc.,31.88,-0.048
QRVO,"Qorvo, Inc.",70.85,-0.052
FMC,FMC Corporation,50.15,0.085
AMTM,"Amentum Holdings, Inc.",19.17,-0.031
